student_id,date,record_type,status
S101,2025-09-22,attendance,Present
S101,2025-09-23,attendance,Present
S101,2025-09-24,fee_status,Paid
S101,2025-09-24,lms_login,Logged In
S102,2025-09-22,attendance,Present
S102,2025-09-23,attendance,Absent
S102,2025-09-24,fee_status,Due
S103,2025-09-22,attendance,Absent
S103,2025-09-23,attendance,Absent
S103,2025-09-24,attendance,Absent
S103,2025-09-24,fee_status,Overdue
S104,2025-09-23,attendance,Present
S104,2025-09-24,fee_status,Paid
S105,2025-09-23,attendance,Present
S105,2025-09-24,fee_status,Due
S106,2025-09-23,attendance,Absent
S106,2025-09-24,fee_status,Overdue
S107,2025-09-23,attendance,Present
S107,2025-09-24,fee_status,Paid
S108,2025-09-22,attendance,Absent
S108,2025-09-23,attendance,Present
S108,2025-09-24,attendance,Absent
S108,2025-09-24,fee_status,Overdue
S109,2025-09-23,attendance,Present
S109,2025-09-24,fee_status,Paid
S110,2025-09-22,attendance,Present
S110,2025-09-23,attendance,Absent
S110,2025-09-24,attendance,Absent
S110,2025-09-24,fee_status,Overdue
